SECT DEPTH,SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,Imp,FP,Name,Hole,Number
0.30000001192092896,0.003,1,0.3,9.052,0.0,1428.887,,,,,1001-1-B-1-1,B,1.0
0.800000011920929,0.008,1,0.8,9.096,0.0,1197.315,,,,,1001-1-B-1-1,B,1.0
1.2999999523162842,0.013,1,1.3,9.16,0.0,2070.992,,,,,1001-1-B-1-1,B,1.0
1.7999999523162842,0.018,1,1.8,9.182,0.0,1610.03,,,,,1001-1-B-1-1,B,1.0
2.299999952316284,0.023,1,2.3,9.173,0.0,1293.429,,,,,1001-1-B-1-1,B,1.0
2.799999952316284,0.028,1,2.8,9.198,0.0,1870.273,,,,,1001-1-B-1-1,B,1.0
3.299999952316284,0.033,1,3.3,9.188,0.0,1942.084,,,,,1001-1-B-1-1,B,1.0
3.799999952316284,0.038,1,3.8,9.11,0.0,2168.531,,,,,1001-1-B-1-1,B,1.0
4.300000190734863,0.043,1,4.3,9.004,0.0,999.1123,,,,,1001-1-B-1-1,B,1.0
4.800000190734863,0.048,1,4.8,8.89,0.0,1128.746,,,,,1001-1-B-1-1,B,1.0
5.300000190734863,0.053,1,5.3,8.84,0.0,1132.027,,,,,1001-1-B-1-1,B,1.0
5.800000190734863,0.058,1,5.8,8.835,0.0,985.7191,,,,,1001-1-B-1-1,B,1.0
6.300000190734863,0.063,1,6.3,8.758,0.0,981.8386,1.3179,5.9271,1293.965,0.8183,1001-1-B-1-1,B,1.0
6.800000190734863,0.068,1,6.8,8.674,0.0,1222.379,1.3822,5.9728,1689.585,0.7816,1001-1-B-1-1,B,1.0
7.300000190734863,0.073,1,7.3,8.642,0.0,1221.312,1.3346,6.34,1629.944,0.8088,1001-1-B-1-1,B,1.0
7.800000190734863,0.078,1,7.8,8.648,0.0,1227.712,1.3873,6.1693,1703.245,0.7787,1001-1-B-1-1,B,1.0
8.300000190734863,0.083,1,8.3,8.65,0.0,1229.042,1.3953,6.1345,1714.844,0.7741,1001-1-B-1-1,B,1.0
8.800000190734863,0.088,1,8.8,8.656,0.0,1230.769,1.3897,6.147,1710.451,0.7773,1001-1-B-1-1,B,1.0
9.300000190734863,0.093,1,9.3,8.66,0.0,1226.108,1.3769,6.1919,1688.265,0.7846,1001-1-B-1-1,B,1.0
9.800000190734863,0.098,1,9.8,8.666,0.0,1218.333,1.3736,6.1687,1673.546,0.7865,1001-1-B-1-1,B,1.0
10.300000190734863,0.103,1,10.3,8.671,0.0,1220.408,1.4243,5.9399,1738.184,0.7576,1001-1-B-1-1,B,1.0
10.800000190734863,0.108,1,10.8,8.671,0.0,1223.508,1.4612,5.7898,1787.766,0.7365,1001-1-B-1-1,B,1.0
11.300000190734863,0.113,1,11.3,8.67,0.0,1222.16,1.4942,5.7156,1826.095,0.7176,1001-1-B-1-1,B,1.0
11.800000190734863,0.118,1,11.8,8.668,0.0,1227.762,1.4705,5.8639,1805.454,0.7311,1001-1-B-1-1,B,1.0
12.300000190734863,0.123,1,12.3,8.672,0.0,1228.503,1.4922,5.827,1833.184,0.7187,1001-1-B-1-1,B,1.0
12.800000190734863,0.128,1,12.8,8.671,0.0001,1233.955,1.4704,5.9963,1814.408,0.7312,1001-1-B-1-1,B,1.0
13.300000190734863,0.133,1,13.3,8.666,0.0001,1236.763,1.4342,6.2655,1773.782,0.7519,1001-1-B-1-1,B,1.0
13.800000190734863,0.138,1,13.8,8.669,0.0001,1241.088,1.4157,6.3707,1757.028,0.7624,1001-1-B-1-1,B,1.0
14.300000190734863,0.143,1,14.3,8.656,0.0001,1240.648,1.4152,6.4546,1755.774,0.7627,1001-1-B-1-1,B,1.0
14.800000190734863,0.148,1,14.8,8.647,0.0001,1251.013,1.3927,6.4663,1742.223,0.7756,1001-1-B-1-1,B,1.0
15.300000190734863,0.153,1,15.3,8.642,0.0001,1259.4,1.3603,6.5999,1713.153,0.7941,1001-1-B-1-1,B,1.0
15.800000190734863,0.158,1,15.8,8.641,0.0001,1258.887,1.3683,6.5019,1722.546,0.7895,1001-1-B-1-1,B,1.0
16.299999237060547,0.163,1,16.3,8.646,0.0001,1262.19,1.389,6.3385,1753.185,0.7777,1001-1-B-1-1,B,1.0
16.799999237060547,0.168,1,16.8,8.647,0.0001,1263.073,1.4033,6.2164,1772.464,0.7695,1001-1-B-1-1,B,1.0
17.299999237060547,0.173,1,17.3,8.652,0.0001,1266.208,1.3953,6.2163,1766.715,0.7741,1001-1-B-1-1,B,1.0
17.799999237060547,0.178,1,17.8,8.651,0.0001,1263.842,1.3616,6.3412,1720.897,0.7933,1001-1-B-1-1,B,1.0
18.299999237060547,0.183,1,18.3,8.657,0.0001,1266.569,1.3585,6.3436,1720.615,0.7952,1001-1-B-1-1,B,1.0
18.799999237060547,0.188,1,18.8,8.657,0.0001,1266.569,1.3162,6.5792,1667.063,0.8193,1001-1-B-1-1,B,1.0
19.299999237060547,0.193,1,19.3,8.66,0.0001,1265.897,1.3398,6.4839,1696.008,0.8058,1001-1-B-1-1,B,1.0
19.799999237060547,0.198,1,19.8,8.665,0.0001,1265.333,1.3808,6.3417,1747.143,0.7824,1001-1-B-1-1,B,1.0
20.299999237060547,0.203,1,20.3,8.667,0.0001,1256.815,1.3512,6.5908,1698.252,0.7993,1001-1-B-1-1,B,1.0
20.799999237060547,0.208,1,20.8,8.673,0.0001,1258.051,1.3757,6.6298,1730.665,0.7853,1001-1-B-1-1,B,1.0
21.299999237060547,0.213,1,21.3,8.673,0.0001,1264.47,1.3479,6.9737,1704.382,0.8012,1001-1-B-1-1,B,1.0
21.799999237060547,0.218,1,21.8,8.673,0.0001,1264.47,1.3447,7.2246,1700.336,0.803,1001-1-B-1-1,B,1.0
22.299999237060547,0.223,1,22.3,8.678,0.0001,1265.753,1.3301,7.5554,1683.595,0.8114,1001-1-B-1-1,B,1.0
22.799999237060547,0.228,1,22.8,8.678,0.0001,1265.753,1.3293,7.9442,1682.543,0.8118,1001-1-B-1-1,B,1.0
23.299999237060547,0.233,1,23.3,8.681,0.0001,1263.058,1.3241,8.3527,1672.436,0.8148,1001-1-B-1-1,B,1.0
23.799999237060547,0.238,1,23.8,8.688,0.0001,1261.69,1.3587,8.2961,1714.236,0.795,1001-1-B-1-1,B,1.0
24.299999237060547,0.243,1,24.3,8.688,0.0001,1266.472,1.3759,8.0202,1742.554,0.7852,1001-1-B-1-1,B,1.0
24.799999237060547,0.248,1,24.8,8.688,0.0001,1269.433,1.3676,7.7529,1736.128,0.7899,1001-1-B-1-1,B,1.0
25.299999237060547,0.253,1,25.3,8.69,0.0001,1265.841,1.3724,7.4972,1737.191,0.7872,1001-1-B-1-1,B,1.0
25.799999237060547,0.258,1,25.8,8.689,0.0001,1262.386,1.2884,7.8643,1626.477,0.8352,1001-1-B-1-1,B,1.0
26.299999237060547,0.263,1,26.3,8.692,0.0001,1258.616,1.2828,7.7667,1614.548,0.8384,1001-1-B-1-1,B,1.0
26.799999237060547,0.268,1,26.8,8.695,0.0001,1256.866,1.3106,7.3016,1647.307,0.8225,1001-1-B-1-1,B,1.0
27.299999237060547,0.273,1,27.3,8.695,0.0001,1261.974,1.2754,7.1653,1609.557,0.8426,1001-1-B-1-1,B,1.0
27.799999237060547,0.278,1,27.8,8.696,0.0001,1260.838,1.2598,7.0647,1588.359,0.8516,1001-1-B-1-1,B,1.0
28.299999237060547,0.283,1,28.3,8.696,0.0001,1260.838,1.2903,6.7738,1626.918,0.8341,1001-1-B-1-1,B,1.0
28.799999237060547,0.288,1,28.8,8.696,0.0001,1264.505,1.2614,6.8406,1594.988,0.8507,1001-1-B-1-1,B,1.0
29.299999237060547,0.293,1,29.3,8.699,0.0001,1264.206,1.222,7.02,1544.921,0.8731,1001-1-B-1-1,B,1.0
29.799999237060547,0.298,1,29.8,8.699,0.0001,1261.456,1.2241,7.0081,1544.176,0.8719,1001-1-B-1-1,B,1.0
